threshold,folder,rows_total,rows_known,rows_unknown,rows_no_face,known_unique_labels,known_rate,unknown_rate,session_file
0.66,2026/3/30/2nd,21,1,20,0,1,0.0476,0.9524,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,2026/3/30/2nd,30,1,29,0,1,0.0333,0.9667,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,2026/3/30/2nd,38,1,37,0,1,0.0263,0.9737,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,2026/3/30/2nd,53,1,52,0,1,0.0189,0.9811,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,2026/3/30/2nd,64,1,63,0,1,0.0156,0.9844,mtcnn_flat_t82_2026-04-19_20-01-44.csv
0.66,2026/3/30/4th,2,0,2,0,0,0.0000,1.0000,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,2026/3/30/4th,3,0,3,0,0,0.0000,1.0000,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,2026/3/30/4th,7,0,7,0,0,0.0000,1.0000,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,2026/3/30/4th,9,0,9,0,0,0.0000,1.0000,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,2026/3/30/4th,11,0,11,0,0,0.0000,1.0000,mtcnn_flat_t82_2026-04-19_20-01-44.csv
0.66,2026/3/30/outside_period,45,0,45,0,0,0.0000,1.0000,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,2026/3/30/outside_period,51,0,51,0,0,0.0000,1.0000,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,2026/3/30/outside_period,67,0,67,0,0,0.0000,1.0000,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,2026/3/30/outside_period,86,0,86,0,0,0.0000,1.0000,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,2026/3/30/outside_period,102,0,102,0,0,0.0000,1.0000,mtcnn_flat_t82_2026-04-19_20-01-44.csv
0.66,2026/4/6/2nd,27,3,24,0,3,0.1111,0.8889,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,2026/4/6/2nd,31,3,28,0,3,0.0968,0.9032,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,2026/4/6/2nd,37,3,34,0,3,0.0811,0.9189,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,2026/4/6/2nd,46,3,43,0,3,0.0652,0.9348,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,2026/4/6/2nd,52,3,49,0,3,0.0577,0.9423,mtcnn_flat_t82_2026-04-19_20-01-44.csv
0.66,2026/4/9/3rd,55,5,50,0,5,0.0909,0.9091,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,2026/4/9/3rd,68,5,63,0,5,0.0735,0.9265,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,2026/4/9/3rd,82,5,77,0,5,0.0610,0.9390,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,2026/4/9/3rd,96,4,92,0,4,0.0417,0.9583,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,2026/4/9/3rd,107,4,103,0,4,0.0374,0.9626,mtcnn_flat_t82_2026-04-19_20-01-44.csv
0.66,2026/4/9/outside_period,32,3,29,0,3,0.0938,0.9062,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,2026/4/9/outside_period,36,3,33,0,3,0.0833,0.9167,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,2026/4/9/outside_period,43,3,40,0,3,0.0698,0.9302,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,2026/4/9/outside_period,49,3,46,0,3,0.0612,0.9388,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,2026/4/9/outside_period,56,3,53,0,3,0.0536,0.9464,mtcnn_flat_t82_2026-04-19_20-01-44.csv
0.66,misc_flat,35,8,26,1,8,0.2286,0.7429,mtcnn_flat_t66_2026-04-19_19-57-08.csv
0.70,misc_flat,42,8,33,1,8,0.1905,0.7857,mtcnn_flat_t70_2026-04-19_19-58-17.csv
0.74,misc_flat,48,8,39,1,8,0.1667,0.8125,mtcnn_flat_t74_2026-04-19_19-59-25.csv
0.78,misc_flat,63,8,54,1,8,0.1270,0.8571,mtcnn_flat_t78_2026-04-19_20-00-34.csv
0.82,misc_flat,80,7,72,1,7,0.0875,0.9000,mtcnn_flat_t82_2026-04-19_20-01-44.csv
